# Constructed from biom file
#OTU ID	mock-355	mock-365-2	mock-367-2	mock-370-1	mock-370-2	mock-372-2	mock-372-3	mock-375	mock-376	mock-377-1	mock-377-2	mock-378-1	mock-378-2	mock-380	NTC-350	NTC-355	NTC-365	NTC-367	NTC-370-1	NTC-370-2	NTC-372-1	NTC-372-2	NTC-372-3	NTC-375-1	NTC-375-2	NTC-376-1	NTC-376-2	NTC-377-1	NTC-377-2	NTC-378-1	NTC-378-2	NTC-380
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;__	0.03353261534255642	0.0	0.0	0.0	0.0	0.023641256994597945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026730241294610603
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales;f__Nostocaceae;g__;s__	0.0	0.0	0.0	0.04563568937842475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00014448779078167894
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__vadinHB04;s__	0.0075396225872128575	0.0	0.0	0.009621593697533256	0.01466121258758252	0.0126628845818731	0.0	0.016862060364180594	0.017106609371802743	0.0	0.0	0.0	0.0	0.031355311355311354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;__;__;__	0.004546795300685616	0.0	0.0	0.014547702071917492	0.020149042161111335	0.004492032451062018	0.0	0.013968570715889249	0.01477388991201146	0.0	0.0	0.0	0.0	0.02652014652014652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Dethiosulfovibrionaceae;g__PD-UASB-13;s__	0.014575644429096613	0.0	0.0	0.011088356303389236	0.017293750759386012	0.0160512711290104	0.0	0.020004988775255673	0.019521178637200737	0.0	0.0	0.0	0.0	0.02227106227106227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae;g__Geobacter;s__lovleyi	0.009719494384851689	0.0	0.0	0.00700171583550119	0.0114211656069013	0.012217553778535055	0.0	0.01302070341731105	0.013014119091467158	0.0	0.0	0.0	0.0	0.0074725274725274725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria;__;__	0.0	0.0	0.0	3.689968819763473e-05	0.0	0.0	0.07398318174017504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014448779078167894
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Pseudanabaenales;f__Pseudanabaenaceae;g__Pseudanabaena;s__	0.0	0.0	0.0	0.05047877345436431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;__;__;__;__	1.438859272368866e-05	0.0	0.0	0.035100828398000036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012544802867383513	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolinaceae;g__WCHB1-05;s__	0.0074317081417851925	0.0	0.0	0.007878083430195014	0.015288971690089507	0.01380525490347939	0.0	0.016263407333499624	0.014937589523224883	0.0	0.0	0.0	0.0	0.003956043956043956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__;g__;s__	0.0014676364578162433	0.0	0.0	0.03226877732883157	0.0	0.0011423703216062889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00014448779078167894
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__TTA_B6;g__E6;s__	0.0076835085144497444	0.0	0.0	0.004649360712901976	0.008829128022356324	0.012082018316649564	0.0	0.008780244449987528	0.009412727644771844	0.0	0.0	0.0	0.0	0.028717948717948718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae;g__Methylophaga;s__	0.01779149490284103	0.0	0.0	0.0	0.0	0.013437372935504482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024562924432885423
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__	0.00428780063165922	0.0	0.0	0.0088190254792347	0.01338544408893929	0.004859914419036924	0.0	0.011424295335495136	0.012318395743810108	0.0	0.0	0.0	0.0	0.01054945054945055	0.0	0.0	0.0	0.0	0.0	0.0004569294342021615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;__;__;__;__;__;__	0.0074317081417851925	1.0	0.872280701754386	0.0090311986863711	0.000486007047102183	0.008984064902124035	0.23705165608374806	0.0010476428036916936	0.000777573153263761	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.007231404958677686	0.0	0.0	0.0	0.08974358974358974	0.019464720194647202	0.09	0.0035842293906810036	1.0	1.0	1.0	1.0	0.018422193324664066
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__;s__	0.0076475370326405225	0.0	0.0	0.005608752606040479	0.008484873030658945	0.008674269560671482	0.0	0.00763282614118234	0.008389605074687948	0.0	0.0	0.0	0.0	0.005274725274725275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
